Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
10.1016/j.dib.2018.04.011,S0045653518303527,"['Sai, Linlin', 'Li, Ling', 'Hu, Chenyang', 'Qu, Binpeng', 'Guo, Qiming', 'Jia, Qiang', 'Zhang, Yu', 'Bo, Cunxiang', 'Shao, Hua', 'Ng, Jack C.', 'Peng, Cheng', 'Li, Xiangxin']","['Sai, Linlin', 'Li, Ling', 'Hu, Chenyang', 'Qu, Binpeng', 'Guo, Qiming', 'Jia, Qiang', 'Zhang, Yu', 'Bo, Cunxiang', 'Shao, Hua', 'Ng, Jack C.', 'Peng, Cheng', 'Li, Xiangxin']",12,12,Environmental Sciences,Geosciences,1,0,0,1
10.1016/j.dib.2019.105031,S0141813019338103,"['Tashakkorian, Hamed', 'Hasantabar, Vahid', 'Mostafazadeh, Amrollah', 'Golpour, Monire']","['Tashakkorian, Hamed', 'Hasantabar, Vahid', 'Mostafazadeh, Amrollah', 'Golpour, Monire']",4,4,Chemistry,Physics & Chemistry,1,0,0,1
10.1016/j.dib.2015.11.037,S1388198115001821,"['Cai, Demin', 'Liu, Haoyu', 'Yuan, Mengjie', 'Pan, Shifeng', 'Jia, Yimin', 'Zhao, Ruqian']","['Cai, Demin', 'Wang, Junjian', 'Jia, Yimin', 'Liu, Haoyu', 'Yuan, Mengjie', 'Dong, Haibo', 'Zhao, Ruqian']",6,7,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.744731909,0.166666667,4,0.615384615
10.1016/j.dib.2017.12.021,S0030399217308587,"['Lee, Dongkyoung', 'Mazumder, Jyotirmoy']","['Lee, Dongkyoung', 'Mazumder, Jyotirmoy']",2,2,Engineering,Engineering,1,0,0,1
10.1016/j.dib.2018.12.083,S1617138118302723,"['Da Silva, Rita', 'Conde, Dalia A.']","['Da Silva, Rita', 'Pearce-Kelly, Paul', 'Zimmerman, Brian', 'Knott, Meredith', 'Foden, Wendy', 'Conde, Dalia A.']",2,6,Agricultural and Biological Sciences,Biological sciences,0.704761905,0,4,0.5
10.1016/j.dib.2018.04.005,S0266352X18300399,"['Makasis, Nikolas', 'Narsilio, Guillermo A.', 'Bidarmaghz, Asal', 'Johnston, Ian W.']","['Makasis, Nikolas', 'Narsilio, Guillermo A.', 'Bidarmaghz, Asal', 'Johnston, Ian W.']",4,4,Engineering,Engineering,1,0,0,1
10.1016/j.dib.2015.11.023,S0009898115300218,"['Suzuki, Yoshitake', 'Matsushita, Kazuyuki', 'Seimiya, Masanori', 'Yoshida, Toshihiko', 'Sawabe, Yuji', 'Ogawa, Makoto', 'Nomura, Fumio']","['Suzuki, Yoshitake', 'Matsushita, Kazuyuki', 'Seimiya, Masanori', 'Yoshida, Toshihiko', 'Sawabe, Yuji', 'Ogawa, Makoto', 'Nomura, Fumio']",7,7,"Biochemistry, Genetics and Molecular Biology",Biological sciences,1,0,0,1
10.1016/j.dib.2017.02.009,S0928098717300027,"['Kotsampasakou, Eleni', 'Escher, Sylvia E.', 'Ecker, Gerhard F.']","['Kotsampasakou, Eleni', 'Escher, Sylvia E.', 'Ecker, Gerhard F.']",3,3,Chemical Engineering,Engineering,1,0,0,1
10.1016/j.dib.2019.104475,S1773224719301844,"['Duong, Van-An', 'Nguyen, Thi-Thao-Linh', 'Maeng, Han-Joo', 'Chi, Sang-Cheol']","['Duong, Van-An', 'Nguyen, Thi-Thao-Linh', 'Maeng, Han-Joo', 'Chi, Sang-Cheol']",4,4,"Pharmacology, Toxicology and Pharmaceutical Science",Medical sciences,1,0,0,1
10.1016/j.dib.2016.06.045,S0161589016301006,"['Chandra, Harish', 'Yadav, Jagjit S.']","['Chandra, Harish', 'Yadav, Jagjit S.']",2,2,Immunology and Microbiology,Medical sciences,1,0,0,1
10.1016/j.dib.2020.106694,S0959652620349441,"['Doliente, Stephen S.', 'Samsatli, Sheila']","['Doliente, Stephen S.', 'Samsatli, Sheila']",2,2,"Economics, Econometrics and Finance",Social sciences & Humanities,1,0,0,1
